name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,4,8.0,0.0,0.01,0.0,80,50,50,0,0.8,0.764511141471867,17,24,2722,2693,29,0.7300408466394356,9.394570813268148,11.25953999871854,28.85736088468957,39.553083218591055,38.245904493759234,0.1460432546150196,37.87161370000104,0.6311935616666839
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.0,0.0,80,50,50,0,0.82,0.76546270180118,17,24,1519,1519,0,0.7057274522712311,9.464569519503623,11.538649996509776,28.831127335006585,39.61614084396046,38.29569685451021,0.1738539412657059,22.511499000000185,0.3751916500000031
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.0,0.0,80,50,50,0,0.82,0.7668639823549319,17,24,3022,3022,0,0.7048312375909993,9.494628689591485,11.577155000122724,28.818452119353903,39.58639084385708,38.31308080894539,0.1452185037742031,42.65670569999929,0.7109450949999883
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,4,8.0,0.0,0.0,0.0,80,50,50,0,0.8,0.7647070077759567,17,24,2722,2722,0,0.7296105804555474,9.48666329906345,11.840719999599964,28.85736088468957,39.41620403136476,38.34402418375301,0.1453708715160232,38.443950799999584,0.6407325133333264
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.01,0.0,80,50,50,0,0.82,0.7625063128089528,17,23,1519,1503,16,0.7059214903526281,9.523688689364263,12.225629999738883,28.831127335006585,39.64497837526142,38.35614552049368,0.1749967241364299,22.548263299999235,0.3758043883333206
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.01,0.0,80,50,50,0,0.82,0.7665451674471911,17,24,3022,2988,34,0.7044846050870147,9.52845505357794,11.616244999459012,28.818452119353903,39.63522084350756,38.361121330665455,0.1445308215433792,42.37833339999997,0.7063055566666663
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,8,8.0,0.0,0.05,0.0,80,50,50,0,0.82,0.7675605023477199,17,23,1369,1313,56,0.7265803503427266,9.54101683159383,11.93635999516118,28.87582319439372,39.499025124702605,38.367710085354304,0.1652919123382246,20.01326919999701,0.3335544866666168
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,8,8.0,0.0,0.01,0.0,80,50,50,0,0.82,0.7663430052434558,17,23,1369,1354,15,0.7267355982274741,9.531350812481469,11.878995000006396,28.87582319439372,39.64846803173423,38.37311739529166,0.1642710709574906,20.458148599995184,0.340969143333253
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.05,0.0,80,50,50,0,0.82,0.7666206756683098,17,24,3022,2891,131,0.7035627810446212,9.569890937369651,11.80814999861468,28.818452119353903,39.703323875044006,38.39674042716557,0.145884520357397,41.524634100002,0.6920772350000334
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,4,8.0,0.0,0.05,0.0,80,50,50,0,0.8,0.7652972037713094,17,24,2722,2607,115,0.729957805907173,9.55235772916336,11.75660000371863,28.85736088468957,39.550400124998994,38.39748997527958,0.1469970846909223,37.49684919999709,0.6249474866666181
