name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min,_score_acc,_score_latency,_score_stability,_score_drop,tradeoff_score
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,0.0,0.0,0.0,80,50,50,0,0.82,0.7668639823549319,17,24,3022,3022,0,0.7048312375909993,9.156741164768285,11.115869999412087,230.54761695483123,249.18166675027345,239.7043581195995,0.1452185037742031,41.73942029999671,0.6956570049999452,1.0,0.7885690829841852,0.506790536663026,1.0,0.8872497785615582
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,0.0,0.01,0.0,80,50,50,0,0.82,0.7665451674471911,17,24,3022,2988,34,0.7044846050870147,9.402826271770888,11.28318500086607,230.54761695483123,245.30108275012927,240.0641564884708,0.1445308215433792,42.227795899998455,0.7037965983333075,1.0,0.7881914741139586,0.5144210358553652,0.7404580152671756,0.8619453473464418
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,0.0,0.05,0.0,80,50,50,0,0.82,0.7666206756683098,17,24,3022,2891,131,0.7035627810446212,9.41392867516842,11.43450000017765,230.54761695483123,245.29799900023036,240.0287245935356,0.145884520357397,41.0623994000016,0.6843733233333599,1.0,0.7882286599351686,0.4994004387771797,0.0,0.7864086418582685
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,20.0,0.0,0.0,80,50,50,0,0.82,0.7668639823549319,17,24,3022,3022,0,0.7048312375909993,9.377432561224085,11.439074999543656,230.54761695483123,265.30171475028504,259.9250495160559,0.1452185037742031,42.23284250000143,0.703880708333357,1.0,0.767347440269768,0.506790536663026,1.0,0.880883285747233
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,20.0,0.01,0.0,80,50,50,0,0.82,0.7665451674471911,17,24,3022,2988,34,0.7044846050870147,9.479985508655158,11.61884999855829,230.54761695483123,265.567138749875,260.1413157253555,0.1445308215433792,42.25937189999968,0.7043228649999946,1.0,0.7671204685933315,0.5144210358553652,0.7404580152671756,0.8556240456902535
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,20.0,0.05,0.0,80,50,50,0,0.82,0.7666206756683098,17,24,3022,2891,131,0.7035627810446212,9.53001169147764,11.472000000139817,230.54761695483123,265.6589569998131,260.14480760984486,0.145884520357397,41.67684790000203,0.6946141316667005,1.0,0.7671168038558812,0.4994004387771797,0.0,0.7800750850344824
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,50.0,0.0,0.0,80,50,50,0,0.82,0.7668639823549319,17,24,3022,3022,0,0.7048312375909993,9.41703352086863,11.352609999812554,230.54761695483123,295.6174247496983,289.96465047569933,0.1452185037742031,42.42408989999967,0.7070681649999945,1.0,0.7358208388123652,0.506790536663026,1.0,0.8714253053100122
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,50.0,0.01,0.0,80,50,50,0,0.82,0.7665451674471911,17,24,3022,2988,34,0.7044846050870147,9.487811244992724,11.53343000169116,230.54761695483123,295.51435874976045,290.1491414616923,0.1445308215433792,42.33911829999852,0.705651971666642,1.0,0.7356272152753647,0.5144210358553652,0.7404580152671756,0.8461760696948635
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,50.0,0.05,0.0,80,50,50,0,0.82,0.7666206756683098,17,24,3022,2891,131,0.7035627810446212,9.534900138400843,12.084200001481804,230.54761695483123,295.4444830000092,290.1496960567679,0.145884520357397,41.52279460000136,0.6920465766666893,1.0,0.7356266332270899,0.4994004387771797,0.0,0.770628033845845
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,0.0,0.0,0.0,80,50,50,0,0.82,0.7668639823549319,17,24,3022,3022,0,0.7048312375909993,9.302689609545782,11.208224999609229,57.63690423870781,68.65152568713937,66.9395938482536,0.1452185037742031,41.97641420000218,0.6996069033333697,1.0,0.9698859345755967,0.506790536663026,1.0,0.9416448340389817
