label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.6780681357181892
air drumming,3,1.0,0.6853712665729033
answering questions,3,0.0,0.41285113538442936
applauding,3,0.0,0.3105906864007314
applying cream,3,0.6666666666666666,0.6446578322483639
archery,3,0.6666666666666666,0.6793410501914261
arm wrestling,3,1.0,0.9999991427758804
arranging flowers,3,1.0,0.9935097531982201
assembling computer,3,1.0,0.866041916256649
auctioning,3,0.0,0.33487300287005767
baby waking up,3,0.6666666666666666,0.48571858005154694
baking cookies,3,1.0,0.4958661985112193
balloon blowing,3,1.0,0.9892341636476063
bandaging,3,1.0,0.6519276691427954
barbequing,3,1.0,0.6845865442107121
bartending,3,0.6666666666666666,0.7855118241364784
beatboxing,2,0.5,0.3505497738718987
