name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min,_score_acc,_score_latency,_score_stability,_score_drop,tradeoff_score
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.708062799037172,12.028259999351572,30.95332048549601,42.32498882841173,40.66138328453319,0.1280932282386126,16.270596500002284,0.2711766083333714,1.0,0.9999229248370531,0.8190920365154354,1.0,0.9818860811026595
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,20.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.964255447365224,12.949079999816602,30.95332048549601,62.83120382872585,60.91757593286124,0.1280932282386126,16.67529790000117,0.2779216316666861,1.0,0.9803631746884445,0.8190920365154354,1.0,0.9760181560580768
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,0.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.811880602218414,12.436259999958564,61.90664097099203,74.5433176560764,71.71852157321044,0.1280932282386126,16.48072879999745,0.2746788133332908,1.0,0.9699335840066353,0.8190920365154354,1.0,0.9728892788535342
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,50.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.737185119616251,12.169639999774516,30.95332048549601,92.7457888282588,90.69050560511226,0.1280932282386126,16.336245399998006,0.2722707566666334,1.0,0.951613889188862,0.8190920365154354,1.0,0.9673933704082021
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,20.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.684680779434512,11.939100000017785,61.90664097099203,94.225572656047,91.59132175042654,0.1280932282386126,16.27844279999772,0.271307379999962,1.0,0.9507440446411685,0.8190920365154354,1.0,0.967132417043894
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,50.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.565351195799812,11.38057999924058,61.90664097099203,124.47507765614864,121.47199216679184,0.1280932282386126,16.15107849999913,0.2691846416666522,1.0,0.9218907227082697,0.8190920365154354,1.0,0.9584764204640244
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.602641629312515,11.604799998167437,30.95332048549601,42.37745882776653,40.58156379107393,0.1272199349958512,16.032019300000684,0.267200321666678,1.0,1.0,0.8272670012666558,0.7446808510638298,0.9571947852330487
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,10.209338380321588,13.02969999887864,30.990036655479752,42.82793382783712,41.19937503580134,0.1587470535999947,9.028116400000728,0.1504686066666787,1.0,0.9994034301610542,0.5321392358422359,1.0,0.9530349526325399
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.699658012569095,11.975220000022093,30.95332048549601,62.16507882804581,60.67858017433051,0.1272199349958512,16.131353100001434,0.2688558850000239,1.0,0.9805939533646053,0.8272670012666558,0.7446808510638298,0.9513729712424301
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.863233930121794,12.293999998655636,61.90664097099203,74.82732265603408,71.82107825364463,0.1272199349958512,16.469280599998456,0.2744880099999742,1.0,0.9698345534000357,0.8272670012666558,0.7446808510638298,0.9481451512530592
