name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,0.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.385199291408776,11.354320000100412,247.62656388396812,276.7162456251972,257.01176317537687,0.12809322823861263,15.98748180000257,0.2664580300000428
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.334926141438526,11.492200000793673,247.62656388396812,266.22019562530477,257.1663034355301,0.12721993499585124,15.814018099998066,0.2635669683333011
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,0.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,9.566980406584586,12.357719998362882,247.62656388396812,266.3721362496217,257.5830169708174,0.1277973403014327,15.692931199999293,0.26154885333332156
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,20.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.367105048703932,11.889200000587147,247.62656388396812,286.48569062492606,276.9936689326723,0.12809322823861263,15.932001699999091,0.26553336166665154
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.414294538914984,11.641519999102456,247.62656388396812,286.5813056250263,277.2456718330061,0.12721993499585124,15.819043999999849,0.26365073333333083
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,20.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,9.518079944516982,11.91543000022648,247.62656388396812,286.74144124989834,277.5341165087501,0.1277973403014327,15.594843999999284,0.25991406666665473
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,50.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.930682196711833,13.087599998834774,247.62656388396812,317.2369456246306,307.55724608067993,0.12809322823861263,16.70079910000277,0.2783466516667128
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.581734556834125,11.564699999871664,247.62656388396812,316.5203906248498,307.41311185092565,0.12721993499585124,16.037330200000724,0.26728883666667874
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,50.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,9.641164602568322,11.820329999682146,247.62656388396812,316.62524125021446,307.657201166801,0.1277973403014327,15.771453699999256,0.26285756166665425
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,0.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.811880602218414,12.436259999958565,61.90664097099203,74.5433176560764,71.71852157321044,0.12809322823861263,16.48072879999745,0.27467881333329086
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.863233930121794,12.293999998655636,61.90664097099203,74.82732265603408,71.82107825364463,0.12721993499585124,16.469280599998456,0.27448800999997425
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,0.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,9.700490110881825,12.093674998686767,61.90664097099203,74.68733906211855,71.70449925194005,0.1277973403014327,15.767923800001881,0.26279873000003134
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,20.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.684680779434512,11.939100000017785,61.90664097099203,94.225572656047,91.59132175042654,0.12809322823861263,16.27844279999772,0.271307379999962
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.858736257820015,12.476739999692654,61.90664097099203,94.68638265623304,91.81658058134285,0.12721993499585124,16.40710129999934,0.27345168833332234
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_20_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,20.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,9.752592791060737,12.35297499843,61.90664097099203,94.61716406237247,91.75660193211897,0.1277973403014327,15.905061100002058,0.26508435166670097
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,50.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.565351195799812,11.38057999924058,61.90664097099203,124.47507765614864,121.47199216679184,0.12809322823861263,16.15107849999913,0.2691846416666522
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.730557743985477,12.41891999889049,61.90664097099203,124.83271765636891,121.6884020675083,0.12721993499585124,16.209789000000455,0.27016315000000757
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,50.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,9.931390480631379,12.680259999251577,61.90664097099203,125.08861406263168,121.9353996216896,0.1277973403014327,16.131534100000863,0.268858901666681
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.708062799037172,12.028259999351572,30.953320485496015,42.32498882841173,40.66138328453319,0.12809322823861263,16.270596500002284,0.2711766083333714
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.602641629312517,11.604799998167437,30.953320485496015,42.37745882776653,40.58156379107393,0.12721993499585124,16.032019300000684,0.26720032166667806
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,10.062815341966001,13.327705003030134,30.953320485496015,42.98600453132531,41.06481991249511,0.1277973403014327,16.384480699998676,0.2730746783333113
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,20.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.964255447365225,12.949079999816602,30.953320485496015,62.83120382872585,60.91757593286124,0.12809322823861263,16.67529790000117,0.27792163166668615
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.699658012569095,11.975220000022091,30.953320485496015,62.16507882804581,60.67858017433051,0.12721993499585124,16.131353100001434,0.2688558850000239
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,20.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,9.70594999999942,11.990759998843714,30.953320485496015,62.22601453131938,60.707954570528535,0.1277973403014327,15.761890999998286,0.26269818333330475
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,50.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.737185119616251,12.169639999774516,30.953320485496015,92.74578882825881,90.69050560511226,0.12809322823861263,16.336245399998006,0.2722707566666334
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.894414950730466,12.246919998142403,30.953320485496015,92.414938828304,90.87333711249188,0.12721993499585124,16.43015270000251,0.27383587833337514
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,50.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,9.704412476870496,12.14150000123482,30.953320485496015,92.18553453122149,90.70641704739961,0.1277973403014327,15.748052700000699,0.2624675450000116
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,0.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.638272359097755,12.29613499890547,247.92029324383802,266.8789106248587,257.5585656029358,0.15874705359999475,8.58215669999845,0.14303594499997416
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.733646332680893,11.99957000244467,247.92029324383802,266.71983625043066,257.9655895348276,0.16025119692399103,8.56488309999986,0.14274805166666435
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,0.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,9.867226383651767,11.973160001070934,247.92029324383802,266.82362124980426,258.224698708375,0.16612822227852,8.451645299999655,0.14086075499999423
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,20.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.780836619791469,13.010874998690268,247.92029324383802,286.9942456245044,277.7011298636295,0.15874705359999475,8.712906499997189,0.1452151083332865
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,10.120825581331452,12.674589999733143,247.92029324383802,286.8949412499016,278.35276878347815,0.16025119692399103,8.860280099997908,0.14767133499996513
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_20_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,20.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,9.662344833889442,11.968790002356387,247.92029324383802,286.5829212503551,278.0198171586127,0.16612822227852,8.325150900000153,0.13875251500000255
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,50.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.634716021050544,11.364730001514545,247.92029324383802,316.59253562522645,307.55500926488855,0.15874705359999475,8.611989000000904,0.14353315000001507
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.781651341643263,11.765690001993791,247.92029324383802,316.6433962495459,308.01359454378996,0.16025119692399103,8.611496899997292,0.1435249483332882
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_1_0__network_delay_ms_50_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,1.0,50.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,10.168071033233218,12.455380000028525,247.92029324383802,317.46515124928845,308.52554335795645,0.16612822227852,8.776498600000195,0.14627497666666991
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,0.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.987126584471465,12.822055000651742,61.980073310959504,74.41785765682289,71.96719989543097,0.15874705359999475,8.915757300001133,0.14859595500001888
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.710890161003329,11.660600001050627,61.980073310959504,74.63419531246909,71.76887596154,0.16025119692399103,8.622058699998888,0.1437009783333148
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,0.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,10.244948154938669,13.011714998901876,61.980073310959504,75.44492031226109,72.33431623611948,0.16612822227852,8.792160500001046,0.14653600833335076
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,20.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.679395070486887,11.520899999231915,61.980073310959504,94.5363426564436,91.65946838144639,0.15874705359999475,8.64314540000123,0.14405242333335386
