canonical_label,n_videos
abseiling,3
air drumming,3
answering questions,3
applauding,3
applying cream,3
archery,3
arm wrestling,3
arranging flowers,3
assembling computer,3
auctioning,3
baby waking up,3
baking cookies,3
balloon blowing,3
bandaging,3
barbequing,3
bartending,3
beatboxing,3
bee keeping,3
belly dancing,3
bench pressing,3
bending back,3
bending metal,3
biking through snow,3
blasting sand,3
blowing glass,3
blowing leaves,3
blowing nose,3
blowing out candles,3
bobsledding,3
bookbinding,3
bouncing on trampoline,3
bowling,3
braiding hair,3
breading or breadcrumbing,3
breakdancing,3
brush painting,3
brushing hair,3
brushing teeth,3
building cabinet,3
building shed,3
bungee jumping,3
busking,3
canoeing or kayaking,3
capoeira,3
carrying baby,3
cartwheeling,3
carving pumpkin,3
catching fish,3
catching or throwing baseball,3
catching or throwing frisbee,3
catching or throwing softball,3
celebrating,3
changing oil,3
changing wheel,3
checking tires,3
cheerleading,3
chopping wood,3
clapping,3
clay pottery making,3
clean and jerk,3
cleaning floor,3
cleaning gutters,3
cleaning pool,3
cleaning shoes,3
cleaning toilet,3
cleaning windows,3
climbing a rope,3
climbing ladder,3
climbing tree,3
contact juggling,3
cooking chicken,3
cooking egg,3
cooking on campfire,3
cooking sausages,3
counting money,3
country line dancing,3
cracking neck,3
crawling baby,3
crossing river,3
crying,3
curling hair,3
cutting nails,3
cutting pineapple,3
cutting watermelon,3
dancing ballet,3
dancing charleston,3
dancing gangnam style,3
dancing macarena,3
deadlifting,3
decorating the christmas tree,3
digging,3
dining,3
disc golfing,3
diving cliff,3
dodgeball,3
doing aerobics,3
doing laundry,3
doing nails,3
drawing,3
dribbling basketball,3
drinking,3
drinking beer,3
drinking shots,3
driving car,3
driving tractor,3
drop kicking,3
drumming fingers,3
dunking basketball,3
dying hair,3
eating burger,3
eating cake,3
eating carrots,3
eating chips,3
eating doughnuts,3
eating hotdog,3
eating ice cream,3
eating spaghetti,3
eating watermelon,3
egg hunting,3
exercising arm,3
exercising with an exercise ball,3
extinguishing fire,3
faceplanting,3
feeding birds,3
feeding fish,3
feeding goats,3
filling eyebrows,3
finger snapping,3
fixing hair,3
flipping pancake,3
flying kite,3
folding clothes,3
folding napkins,3
folding paper,3
front raises,3
frying vegetables,3
garbage collecting,3
gargling,3
getting a haircut,3
getting a tattoo,3
giving or receiving award,3
golf chipping,3
golf driving,3
golf putting,3
grinding meat,3
grooming dog,3
grooming horse,3
gymnastics tumbling,3
hammer throw,3
headbanging,3
headbutting,3
high jump,3
high kick,3
hitting baseball,3
hockey stop,3
holding snake,3
hopscotch,3
hoverboarding,3
hugging,3
hula hooping,3
hurdling,3
hurling sport,3
ice climbing,3
ice fishing,3
ice skating,3
ironing,3
javelin throw,3
jetskiing,3
jogging,3
juggling balls,3
juggling fire,3
juggling soccer ball,3
jumping into pool,3
jumpstyle dancing,3
kicking field goal,3
kicking soccer ball,3
kissing,3
kitesurfing,3
knitting,3
krumping,3
laughing,3
laying bricks,3
long jump,3
lunge,3
making a cake,3
making a sandwich,3
making bed,3
making jewelry,3
making pizza,3
making snowman,3
making sushi,3
making tea,3
marching,3
massaging back,3
massaging feet,3
massaging legs,3
massaging person s head,3
milking cow,3
mopping floor,3
motorcycling,3
moving furniture,3
mowing lawn,3
news anchoring,3
opening bottle,3
opening present,3
paragliding,3
parasailing,3
parkour,3
passing american football in game,3
passing american football not in game,3
peeling apples,3
peeling potatoes,3
petting animal not cat,3
petting cat,3
picking fruit,3
planting trees,3
plastering,3
playing accordion,3
playing badminton,3
playing bagpipes,3
playing basketball,3
playing bass guitar,3
playing cards,3
playing cello,3
playing chess,3
playing clarinet,3
playing controller,3
playing cricket,3
playing cymbals,3
playing didgeridoo,3
playing drums,3
playing flute,3
playing guitar,3
playing harmonica,3
playing harp,3
playing ice hockey,3
playing keyboard,3
playing kickball,3
playing monopoly,3
playing organ,3
playing paintball,3
